sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
SAM13773940,EGAN00001568552,SAMEA104176197,EGAR00001586085,EGAX00001541770,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882150,EGAN00001568651,SAMEA104176296,EGAR00001586185,EGAX00001541870,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882185,EGAN00001568575,SAMEA104176220,EGAR00001586108,EGAX00001541793,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882192,EGAN00001568577,SAMEA104176222,EGAR00001586110,EGAX00001541795,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882203,EGAN00001568501,SAMEA104176146,EGAR00001586034,EGAX00001541719,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882212,EGAN00001568601,SAMEA104176246,EGAR00001586135,EGAX00001541820,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882228,EGAN00001568630,SAMEA104176275,EGAR00001586164,EGAX00001541849,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882266,EGAN00001568584,SAMEA104176229,EGAR00001586117,EGAX00001541802,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882291,EGAN00001568595,SAMEA104176240,EGAR00001586129,EGAX00001541814,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882294,EGAN00001568570,SAMEA104176215,EGAR00001586103,EGAX00001541788,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882303,EGAN00001568654,SAMEA104176299,EGAR00001586188,EGAX00001541873,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635318,EGAN00001568643,SAMEA104176288,EGAR00001586177,EGAX00001541862,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635326,EGAN00001568538,SAMEA104176183,EGAR00001586071,EGAX00001541756,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635329,EGAN00001568628,SAMEA104176273,EGAR00001586162,EGAX00001541847,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635332,EGAN00001568545,SAMEA104176190,EGAR00001586078,EGAX00001541763,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635333,EGAN00001568543,SAMEA104176188,EGAR00001586076,EGAX00001541761,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635338,EGAN00001568503,SAMEA104176148,EGAR00001586036,EGAX00001541721,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635339,EGAN00001568612,SAMEA104176257,EGAR00001586146,EGAX00001541831,EGAS00001002554,ENA-CHECKLIST=ERC000026
