accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00001586021,fastq,,EGAN00001568488,EGAX00001541706,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586022,fastq,,EGAN00001568489,EGAX00001541707,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586023,fastq,,EGAN00001568490,EGAX00001541708,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586024,fastq,,EGAN00001568491,EGAX00001541709,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586025,fastq,,EGAN00001568492,EGAX00001541710,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586026,fastq,,EGAN00001568493,EGAX00001541711,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586027,fastq,,EGAN00001568494,EGAX00001541712,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586028,fastq,,EGAN00001568495,EGAX00001541713,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586029,fastq,,EGAN00001568496,EGAX00001541714,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586030,fastq,,EGAN00001568497,EGAX00001541715,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586031,fastq,,EGAN00001568498,EGAX00001541716,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586032,fastq,,EGAN00001568499,EGAX00001541717,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586033,fastq,,EGAN00001568500,EGAX00001541718,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586034,fastq,,EGAN00001568501,EGAX00001541719,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586035,fastq,,EGAN00001568502,EGAX00001541720,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586036,fastq,,EGAN00001568503,EGAX00001541721,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586037,fastq,,EGAN00001568504,EGAX00001541722,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586038,fastq,,EGAN00001568505,EGAX00001541723,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586039,fastq,,EGAN00001568506,EGAX00001541724,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586040,fastq,,EGAN00001568507,EGAX00001541725,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586041,fastq,,EGAN00001568508,EGAX00001541726,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586042,fastq,,EGAN00001568509,EGAX00001541727,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586043,fastq,,EGAN00001568510,EGAX00001541728,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586044,fastq,,EGAN00001568511,EGAX00001541729,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586045,fastq,,EGAN00001568512,EGAX00001541730,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586046,fastq,,EGAN00001568513,EGAX00001541731,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586047,fastq,,EGAN00001568514,EGAX00001541732,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586048,fastq,,EGAN00001568515,EGAX00001541733,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586049,fastq,,EGAN00001568516,EGAX00001541734,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586050,fastq,,EGAN00001568517,EGAX00001541735,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586051,fastq,,EGAN00001568518,EGAX00001541736,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586052,fastq,,EGAN00001568519,EGAX00001541737,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586053,fastq,,EGAN00001568520,EGAX00001541738,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586054,fastq,,EGAN00001568521,EGAX00001541739,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586055,fastq,,EGAN00001568522,EGAX00001541740,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586056,fastq,,EGAN00001568523,EGAX00001541741,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586057,fastq,,EGAN00001568524,EGAX00001541742,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586058,fastq,,EGAN00001568525,EGAX00001541743,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586059,fastq,,EGAN00001568526,EGAX00001541744,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586060,fastq,,EGAN00001568527,EGAX00001541745,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586061,fastq,,EGAN00001568528,EGAX00001541746,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586062,fastq,,EGAN00001568529,EGAX00001541747,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586063,fastq,,EGAN00001568530,EGAX00001541748,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586064,fastq,,EGAN00001568531,EGAX00001541749,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586065,fastq,,EGAN00001568532,EGAX00001541750,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586066,fastq,,EGAN00001568533,EGAX00001541751,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586067,fastq,,EGAN00001568534,EGAX00001541752,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586068,fastq,,EGAN00001568535,EGAX00001541753,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586069,fastq,,EGAN00001568536,EGAX00001541754,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586070,fastq,,EGAN00001568537,EGAX00001541755,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586071,fastq,,EGAN00001568538,EGAX00001541756,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586072,fastq,,EGAN00001568539,EGAX00001541757,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586073,fastq,,EGAN00001568540,EGAX00001541758,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586074,fastq,,EGAN00001568541,EGAX00001541759,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586075,fastq,,EGAN00001568542,EGAX00001541760,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586076,fastq,,EGAN00001568543,EGAX00001541761,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586077,fastq,,EGAN00001568544,EGAX00001541762,EGA00001358027,2017-08-04 19:32:48+02,2021-10-07 16:16:33+02
EGAR00001586078,fastq,,EGAN00001568545,EGAX00001541763,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586079,fastq,,EGAN00001568546,EGAX00001541764,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586080,fastq,,EGAN00001568547,EGAX00001541765,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586081,fastq,,EGAN00001568548,EGAX00001541766,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586082,fastq,,EGAN00001568549,EGAX00001541767,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586083,fastq,,EGAN00001568550,EGAX00001541768,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586084,fastq,,EGAN00001568551,EGAX00001541769,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586085,fastq,,EGAN00001568552,EGAX00001541770,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586086,fastq,,EGAN00001568553,EGAX00001541771,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586087,fastq,,EGAN00001568554,EGAX00001541772,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586088,fastq,,EGAN00001568555,EGAX00001541773,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586089,fastq,,EGAN00001568556,EGAX00001541774,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586090,fastq,,EGAN00001568557,EGAX00001541775,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586091,fastq,,EGAN00001568558,EGAX00001541776,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586092,fastq,,EGAN00001568559,EGAX00001541777,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586093,fastq,,EGAN00001568560,EGAX00001541778,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586094,fastq,,EGAN00001568561,EGAX00001541779,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586095,fastq,,EGAN00001568562,EGAX00001541780,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586096,fastq,,EGAN00001568563,EGAX00001541781,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586097,fastq,,EGAN00001568564,EGAX00001541782,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586098,fastq,,EGAN00001568565,EGAX00001541783,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586099,fastq,,EGAN00001568566,EGAX00001541784,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586100,fastq,,EGAN00001568567,EGAX00001541785,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586101,fastq,,EGAN00001568568,EGAX00001541786,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586102,fastq,,EGAN00001568569,EGAX00001541787,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586103,fastq,,EGAN00001568570,EGAX00001541788,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586104,fastq,,EGAN00001568571,EGAX00001541789,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586105,fastq,,EGAN00001568572,EGAX00001541790,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586106,fastq,,EGAN00001568573,EGAX00001541791,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586107,fastq,,EGAN00001568574,EGAX00001541792,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586108,fastq,,EGAN00001568575,EGAX00001541793,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586109,fastq,,EGAN00001568576,EGAX00001541794,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586110,fastq,,EGAN00001568577,EGAX00001541795,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586111,fastq,,EGAN00001568578,EGAX00001541796,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:33+02
EGAR00001586112,fastq,,EGAN00001568579,EGAX00001541797,EGA00001358027,2017-08-04 19:32:49+02,2021-10-07 16:16:32+02
