sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001076233,SAM637122,EGA_SAM637122_1_1.gne.fastq.gz,EGAF00001720514
EGAN00001076233,SAM637122,EGA_SAM637122_1_2.gne.fastq.gz,EGAF00001720515
EGAN00001568488,SAM638628,EGA_SAM638628_1_1.gne.fastq.gz,EGAF00001720654
EGAN00001568488,SAM638628,EGA_SAM638628_1_2.gne.fastq.gz,EGAF00001720655
EGAN00001568489,SAM637051,EGA_SAM637051_1_1.gne.fastq.gz,EGAF00001720656
EGAN00001568489,SAM637051,EGA_SAM637051_1_2.gne.fastq.gz,EGAF00001720657
EGAN00001568490,SAM637165,EGA_SAM637165_1_1.gne.fastq.gz,EGAF00001720658
EGAN00001568490,SAM637165,EGA_SAM637165_1_2.gne.fastq.gz,EGAF00001720659
EGAN00001568491,SAM638544,EGA_SAM638544_1_1.gne.fastq.gz,EGAF00001720660
EGAN00001568491,SAM638544,EGA_SAM638544_1_2.gne.fastq.gz,EGAF00001720661
EGAN00001568492,SAM638574,EGA_SAM638574_1_1.gne.fastq.gz,EGAF00001720662
EGAN00001568492,SAM638574,EGA_SAM638574_1_2.gne.fastq.gz,EGAF00001720663
EGAN00001568493,SAM638568,EGA_SAM638568_1_1.gne.fastq.gz,EGAF00001720664
EGAN00001568493,SAM638568,EGA_SAM638568_1_2.gne.fastq.gz,EGAF00001720665
EGAN00001568494,SAM635345,EGA_SAM635345_1_1.gne.fastq.gz,EGAF00001720666
EGAN00001568494,SAM635345,EGA_SAM635345_1_2.gne.fastq.gz,EGAF00001720667
EGAN00001568495,SAM638598,EGA_SAM638598_1_1.gne.fastq.gz,EGAF00001720668
EGAN00001568495,SAM638598,EGA_SAM638598_1_2.gne.fastq.gz,EGAF00001720669
EGAN00001568496,SAM636273,EGA_SAM636273_1_1.gne.fastq.gz,EGAF00001720670
EGAN00001568496,SAM636273,EGA_SAM636273_1_2.gne.fastq.gz,EGAF00001720671
EGAN00001568497,SAM638615,EGA_SAM638615_1_1.gne.fastq.gz,EGAF00001720672
EGAN00001568497,SAM638615,EGA_SAM638615_1_2.gne.fastq.gz,EGAF00001720673
EGAN00001568498,SAM638633,EGA_SAM638633_1_1.gne.fastq.gz,EGAF00001720674
EGAN00001568498,SAM638633,EGA_SAM638633_1_2.gne.fastq.gz,EGAF00001720675
EGAN00001568499,SAM637162,EGA_SAM637162_1_1.gne.fastq.gz,EGAF00001720676
EGAN00001568499,SAM637162,EGA_SAM637162_1_2.gne.fastq.gz,EGAF00001720677
EGAN00001568500,SAM635678,EGA_SAM635678_1_1.gne.fastq.gz,EGAF00001720678
EGAN00001568500,SAM635678,EGA_SAM635678_1_2.gne.fastq.gz,EGAF00001720679
EGAN00001568501,SAM20882203,EGA_SAM20882203_1_1.gne.fastq.gz,EGAF00001720680
EGAN00001568501,SAM20882203,EGA_SAM20882203_1_2.gne.fastq.gz,EGAF00001720681
EGAN00001568502,SAM638701,EGA_SAM638701_1_1.gne.fastq.gz,EGAF00001720682
EGAN00001568502,SAM638701,EGA_SAM638701_1_2.gne.fastq.gz,EGAF00001720683
EGAN00001568503,SAM635338,EGA_SAM635338_1_1.gne.fastq.gz,EGAF00001720684
EGAN00001568503,SAM635338,EGA_SAM635338_1_2.gne.fastq.gz,EGAF00001720685
EGAN00001568504,SAM635705,EGA_SAM635705_1_1.gne.fastq.gz,EGAF00001720686
EGAN00001568504,SAM635705,EGA_SAM635705_1_2.gne.fastq.gz,EGAF00001720687
EGAN00001568505,SAM636284,EGA_SAM636284_1_1.gne.fastq.gz,EGAF00001720688
EGAN00001568505,SAM636284,EGA_SAM636284_1_2.gne.fastq.gz,EGAF00001720689
EGAN00001568506,SAM636253,EGA_SAM636253_1_1.gne.fastq.gz,EGAF00001720690
EGAN00001568506,SAM636253,EGA_SAM636253_1_2.gne.fastq.gz,EGAF00001720691
EGAN00001568507,SAM636320,EGA_SAM636320_1_1.gne.fastq.gz,EGAF00001720692
EGAN00001568507,SAM636320,EGA_SAM636320_1_2.gne.fastq.gz,EGAF00001720693
EGAN00001568508,SAM636275,EGA_SAM636275_1_1.gne.fastq.gz,EGAF00001720694
EGAN00001568508,SAM636275,EGA_SAM636275_1_2.gne.fastq.gz,EGAF00001720695
EGAN00001568509,SAM635662,EGA_SAM635662_1_1.gne.fastq.gz,EGAF00001720696
EGAN00001568509,SAM635662,EGA_SAM635662_1_2.gne.fastq.gz,EGAF00001720697
EGAN00001568510,SAM635673,EGA_SAM635673_1_1.gne.fastq.gz,EGAF00001720698
EGAN00001568510,SAM635673,EGA_SAM635673_1_2.gne.fastq.gz,EGAF00001720699
EGAN00001568511,SAM637172,EGA_SAM637172_1_1.gne.fastq.gz,EGAF00001720700
EGAN00001568511,SAM637172,EGA_SAM637172_1_2.gne.fastq.gz,EGAF00001720701
EGAN00001568512,SAM638687,EGA_SAM638687_1_1.gne.fastq.gz,EGAF00001720702
EGAN00001568512,SAM638687,EGA_SAM638687_1_2.gne.fastq.gz,EGAF00001720703
EGAN00001568513,SAM638548,EGA_SAM638548_1_1.gne.fastq.gz,EGAF00001720704
EGAN00001568513,SAM638548,EGA_SAM638548_1_2.gne.fastq.gz,EGAF00001720705
EGAN00001568514,SAM635679,EGA_SAM635679_1_1.gne.fastq.gz,EGAF00001720706
EGAN00001568514,SAM635679,EGA_SAM635679_1_2.gne.fastq.gz,EGAF00001720707
EGAN00001568515,SAM638635,EGA_SAM638635_1_1.gne.fastq.gz,EGAF00001720708
EGAN00001568515,SAM638635,EGA_SAM638635_1_2.gne.fastq.gz,EGAF00001720709
EGAN00001568516,SAM636334,EGA_SAM636334_1_1.gne.fastq.gz,EGAF00001720710
EGAN00001568516,SAM636334,EGA_SAM636334_1_2.gne.fastq.gz,EGAF00001720711
EGAN00001568517,SAM638674,EGA_SAM638674_1_1.gne.fastq.gz,EGAF00001720712
EGAN00001568517,SAM638674,EGA_SAM638674_1_2.gne.fastq.gz,EGAF00001720713
