accession_id,alias,title,description,biological_sex,subject_id,phenotype,extra_attributes,submission_accession_id,created_at,edited_at
EGAN00001076233,SAM637122,COR-L47,small cell lung carcinoma,unknown,,,"[{""tag"": ""ENA-SUBMISSION-TOOL"", ""unit"": null, ""value"": ""SRA-Webin""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA2018991""}]",EGA00001076458,2012-08-22 08:47:37+02,2023-06-15 15:05:40.937194+02
EGAN00001568488,SAM638628,cell_line,cell line,unknown,SAM638628,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176133""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568489,SAM637051,cell_line,cell line,unknown,SAM637051,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176134""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568490,SAM637165,cell_line,cell line,unknown,SAM637165,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176135""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568491,SAM638544,cell_line,cell line,unknown,SAM638544,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176136""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568492,SAM638574,cell_line,cell line,unknown,SAM638574,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176137""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568493,SAM638568,cell_line,cell line,unknown,SAM638568,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176138""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568494,SAM635345,cell_line,cell line,unknown,SAM635345,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176139""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568495,SAM638598,cell_line,cell line,unknown,SAM638598,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176140""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568496,SAM636273,cell_line,cell line,unknown,SAM636273,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176141""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568497,SAM638615,cell_line,cell line,unknown,SAM638615,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176142""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568498,SAM638633,cell_line,cell line,unknown,SAM638633,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176143""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568499,SAM637162,cell_line,cell line,unknown,SAM637162,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176144""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568500,SAM635678,cell_line,cell line,unknown,SAM635678,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176145""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568501,SAM20882203,cell_line,cell line,unknown,SAM20882203,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176146""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568502,SAM638701,cell_line,cell line,unknown,SAM638701,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176147""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568503,SAM635338,cell_line,cell line,unknown,SAM635338,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176148""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568504,SAM635705,cell_line,cell line,unknown,SAM635705,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176149""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
EGAN00001568505,SAM636284,cell_line,cell line,unknown,SAM636284,EFO:0000322,"[{""tag"": ""ENA-CHECKLIST"", ""unit"": null, ""value"": ""ERC000026""}, {""tag"": ""biosample_id"", ""value"": ""SAMEA104176150""}]",EGA00001356592,2017-07-26 21:27:56+02,2023-06-15 15:09:37.67147+02
