study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638628_exome,WXS,GENOMIC,unspecified,EGAX00001541706,EGAR00001586021,EGAN00001568488,SAM638628,SAMEA104176133,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM637051_exome,WXS,GENOMIC,unspecified,EGAX00001541707,EGAR00001586022,EGAN00001568489,SAM637051,SAMEA104176134,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM637165_exome,WXS,GENOMIC,unspecified,EGAX00001541708,EGAR00001586023,EGAN00001568490,SAM637165,SAMEA104176135,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638544_exome,WXS,GENOMIC,unspecified,EGAX00001541709,EGAR00001586024,EGAN00001568491,SAM638544,SAMEA104176136,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638574_exome,WXS,GENOMIC,unspecified,EGAX00001541710,EGAR00001586025,EGAN00001568492,SAM638574,SAMEA104176137,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638568_exome,WXS,GENOMIC,unspecified,EGAX00001541711,EGAR00001586026,EGAN00001568493,SAM638568,SAMEA104176138,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM635345_exome,WXS,GENOMIC,unspecified,EGAX00001541712,EGAR00001586027,EGAN00001568494,SAM635345,SAMEA104176139,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638598_exome,WXS,GENOMIC,unspecified,EGAX00001541713,EGAR00001586028,EGAN00001568495,SAM638598,SAMEA104176140,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM636273_exome,WXS,GENOMIC,unspecified,EGAX00001541714,EGAR00001586029,EGAN00001568496,SAM636273,SAMEA104176141,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638615_exome,WXS,GENOMIC,unspecified,EGAX00001541715,EGAR00001586030,EGAN00001568497,SAM638615,SAMEA104176142,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638633_exome,WXS,GENOMIC,unspecified,EGAX00001541716,EGAR00001586031,EGAN00001568498,SAM638633,SAMEA104176143,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM637162_exome,WXS,GENOMIC,unspecified,EGAX00001541717,EGAR00001586032,EGAN00001568499,SAM637162,SAMEA104176144,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM635678_exome,WXS,GENOMIC,unspecified,EGAX00001541718,EGAR00001586033,EGAN00001568500,SAM635678,SAMEA104176145,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM20882203_exome,WXS,GENOMIC,unspecified,EGAX00001541719,EGAR00001586034,EGAN00001568501,SAM20882203,SAMEA104176146,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM638701_exome,WXS,GENOMIC,unspecified,EGAX00001541720,EGAR00001586035,EGAN00001568502,SAM638701,SAMEA104176147,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM635338_exome,WXS,GENOMIC,unspecified,EGAX00001541721,EGAR00001586036,EGAN00001568503,SAM635338,SAMEA104176148,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM635705_exome,WXS,GENOMIC,unspecified,EGAX00001541722,EGAR00001586037,EGAN00001568504,SAM635705,SAMEA104176149,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM636284_exome,WXS,GENOMIC,unspecified,EGAX00001541723,EGAR00001586038,EGAN00001568505,SAM636284,SAMEA104176150,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM636253_exome,WXS,GENOMIC,unspecified,EGAX00001541724,EGAR00001586039,EGAN00001568506,SAM636253,SAMEA104176151,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM636320_exome,WXS,GENOMIC,unspecified,EGAX00001541725,EGAR00001586040,EGAN00001568507,SAM636320,SAMEA104176152,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM636275_exome,WXS,GENOMIC,unspecified,EGAX00001541726,EGAR00001586041,EGAN00001568508,SAM636275,SAMEA104176153,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM635662_exome,WXS,GENOMIC,unspecified,EGAX00001541727,EGAR00001586042,EGAN00001568509,SAM635662,SAMEA104176154,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM635673_exome,WXS,GENOMIC,unspecified,EGAX00001541728,EGAR00001586043,EGAN00001568510,SAM635673,SAMEA104176155,cell_line
EGAS00001002554,Genentech - Cell line exome sequencing,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,SAM637172_exome,WXS,GENOMIC,unspecified,EGAX00001541729,EGAR00001586044,EGAN00001568511,SAM637172,SAMEA104176156,cell_line
