accession_id,design_description,library_name,library_construction_protocol,paired_nominal_length,paired_nominal_sdev,platform,model,library_layout,library_strategy,library_source,library_selection,extra_attributes,study_accession_id,submission_accession_id,created_at,edited_at
EGAX00001158627,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:24+01,2014-08-11 14:54:05+02
EGAX00001158628,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:24+01,2014-08-11 14:54:15+02
EGAX00001158629,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:24+01,2014-08-11 14:54:15+02
EGAX00001158630,,,,186,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:15+02
EGAX00001158631,,,,179,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:16+02
EGAX00001158632,,,,180,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:05+02
EGAX00001158633,,,,313,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:05+02
EGAX00001158634,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:05+02
EGAX00001158635,,,,262,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:16+02
EGAX00001158636,,,,246,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:05+02
EGAX00001158637,,,,228,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:05+02
EGAX00001158638,,,,321,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:05+02
EGAX00001158639,,,,195,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:08+02
EGAX00001158640,,,,200,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:25+01,2014-08-11 14:54:08+02
EGAX00001158641,,,,224,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:05+02
EGAX00001158642,,,,267,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:15+02
EGAX00001158643,,,,193,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:15+02
EGAX00001158644,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:15+02
EGAX00001158645,,,,284,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:05+02
EGAX00001158646,,,,321,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:05+02
EGAX00001158647,,,,338,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:05+02
EGAX00001158648,,,,187,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:15+02
