sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
586986,EGAN00001187766,SAMEA2337012,EGAR00001163323,EGAX00001158645,EGAS00001000610,"Age=NA;Age_Unit=NA;Cell_line=A2780;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=""Complete Growth Media, 90%; DMSO, 10%"";Gender=Female;Growth_Media=""RPMI-1640, 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Ovary;Tissue_Diagnosis=Carcinoma;Tissue_supergroup=Ovary"
586988,EGAN00001187831,SAMEA2337077,EGAR00001163388,EGAX00001158710,EGAS00001000610,"Age=47;Age_Unit=Years;Cell_line=COLO 679;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Female;Growth_Media=""RPMI-1640, 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin"
586990,EGAN00001187837,SAMEA2337083,EGAR00001163394,EGAX00001158716,EGAS00001000610,"Age=14;Age_Unit=Years;Cell_line=COLO 800;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Male;Growth_Media=""RPMI-1640, 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin"
586992,EGAN00001187839,SAMEA2337085,EGAR00001163396,EGAX00001158718,EGAS00001000610,"Age=43;Age_Unit=Years;Cell_line=COLO 849;ENA-CHECKLIST=ERC000026;Ethnicity=Caucasian;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Male;Growth_Media=""RPMI-1640 10% FBS, 2mM L-Gln"";Metastatic_Tissue=Lymph Node;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma Metastatic;Tissue_supergroup=Skin"
586994,EGAN00001188001,SAMEA2337247,EGAR00001163557,EGAX00001158879,EGAS00001000610,"Age=NA;Age_Unit=NA;Cell_line=Hs 852.T;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=NA;Growth_Media=""RPMI-1640, 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin"
586995,EGAN00001188021,SAMEA2337267,EGAR00001163577,EGAX00001158899,EGAS00001000610,"Age=64;Age_Unit=Years;Cell_line=IPC-298;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Female;Growth_Media=""RPMI-1640 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin"
586996,EGAN00001188110,SAMEA2337356,EGAR00001163666,EGAX00001158988,EGAS00001000610,"Age=NA;Age_Unit=NA;Cell_line=MEL-HO;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Female;Growth_Media=""RPMI-1640, 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin"
586998,EGAN00001188319,SAMEA2337565,EGAR00001163875,EGAX00001159197,EGAS00001000610,"Age=29;Age_Unit=Years;Cell_line=SK-MEL-1;ENA-CHECKLIST=ERC000026;Ethnicity=Caucasian;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Male;Growth_Media=""RPMI-1640, 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=Lymphatic Tissue;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma Metastatic;Tissue_supergroup=Skin"
587001,EGAN00001188324,SAMEA2337570,EGAR00001163880,EGAX00001159202,EGAS00001000610,"Age=67;Age_Unit=Years;Cell_line=SK-MEL-30;ENA-CHECKLIST=ERC000026;Ethnicity=Caucasian;Freeze_Media=""Complete growth medium, 90%; DMSO, 10%"";Gender=Male;Growth_Media=""RPMI-1640 10% FBS, 2mM L-Glutamine"";Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin"
587003,EGAN00001188003,SAMEA2337249,EGAR00001163559,EGAX00001158881,EGAS00001000610,Age=NA;Age_Unit=NA;Cell_line=Hs 936.T;ENA-CHECKLIST=ERC000026;Ethnicity=NA;Freeze_Media=#N/A;Gender=NA;Growth_Media=#N/A;Metastatic_Tissue=NA;Primary_Tissue=Skin;Tissue_Diagnosis=Melanoma;Tissue_supergroup=Skin
