accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00001163305,fastq,,EGAN00001187748,EGAX00001158627,EGA00001134541,2014-01-23 23:02:30+01,2021-10-07 16:14:26+02
EGAR00001163306,fastq,,EGAN00001187749,EGAX00001158628,EGA00001134541,2014-01-23 23:02:31+01,2021-10-07 16:14:26+02
EGAR00001163307,fastq,,EGAN00001187750,EGAX00001158629,EGA00001134541,2014-01-23 23:02:32+01,2021-10-07 16:14:26+02
EGAR00001163308,fastq,,EGAN00001187751,EGAX00001158630,EGA00001134541,2014-01-23 23:02:33+01,2021-10-07 16:14:26+02
EGAR00001163309,fastq,,EGAN00001187752,EGAX00001158631,EGA00001134541,2014-01-23 23:02:34+01,2021-10-07 16:14:26+02
EGAR00001163310,fastq,,EGAN00001187753,EGAX00001158632,EGA00001134541,2014-01-23 23:02:35+01,2021-10-07 16:14:26+02
EGAR00001163311,fastq,,EGAN00001187754,EGAX00001158633,EGA00001134541,2014-01-23 23:02:37+01,2021-10-07 16:14:26+02
EGAR00001163312,fastq,,EGAN00001187755,EGAX00001158634,EGA00001134541,2014-01-23 23:02:37+01,2021-10-07 16:14:26+02
EGAR00001163313,fastq,,EGAN00001187756,EGAX00001158635,EGA00001134541,2014-01-23 23:02:38+01,2021-10-07 16:14:26+02
EGAR00001163314,fastq,,EGAN00001187757,EGAX00001158636,EGA00001134541,2014-01-23 23:02:39+01,2021-10-07 16:14:26+02
EGAR00001163315,fastq,,EGAN00001187758,EGAX00001158637,EGA00001134541,2014-01-23 23:02:40+01,2021-10-07 16:14:26+02
EGAR00001163316,fastq,,EGAN00001187759,EGAX00001158638,EGA00001134541,2014-01-23 23:02:41+01,2021-10-07 16:14:26+02
EGAR00001163317,fastq,,EGAN00001187760,EGAX00001158639,EGA00001134541,2014-01-23 23:02:42+01,2021-10-07 16:14:26+02
EGAR00001163318,fastq,,EGAN00001187761,EGAX00001158640,EGA00001134541,2014-01-23 23:02:43+01,2021-10-07 16:14:26+02
EGAR00001163319,fastq,,EGAN00001187762,EGAX00001158641,EGA00001134541,2014-01-23 23:02:44+01,2021-10-07 16:14:26+02
EGAR00001163320,fastq,,EGAN00001187763,EGAX00001158642,EGA00001134541,2014-01-23 23:02:45+01,2021-10-07 16:14:26+02
EGAR00001163321,fastq,,EGAN00001187764,EGAX00001158643,EGA00001134541,2014-01-23 23:02:46+01,2021-10-07 16:14:26+02
EGAR00001163322,fastq,,EGAN00001187765,EGAX00001158644,EGA00001134541,2014-01-23 23:02:47+01,2021-10-07 16:14:26+02
EGAR00001163323,fastq,,EGAN00001187766,EGAX00001158645,EGA00001134541,2014-01-23 23:02:48+01,2021-10-07 16:14:26+02
