sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001187748,587721,587721_1_1.rnaseq.fastq.gz,EGAF00000481154
EGAN00001187748,587721,587721_1_2.rnaseq.fastq.gz,EGAF00000481155
EGAN00001187749,636792,636792_1_1.rnaseq.fastq.gz,EGAF00000481156
EGAN00001187749,636792,636792_1_2.rnaseq.fastq.gz,EGAF00000481157
EGAN00001187750,636117,636117_1_1.rnaseq.fastq.gz,EGAF00000481158
EGAN00001187750,636117,636117_1_2.rnaseq.fastq.gz,EGAF00000481159
EGAN00001187751,587011,587011_1_1.rnaseq.fastq.gz,EGAF00000481160
EGAN00001187751,587011,587011_1_2.rnaseq.fastq.gz,EGAF00000481161
EGAN00001187752,587714,587714_1_1.rnaseq.fastq.gz,EGAF00000481162
EGAN00001187752,587714,587714_1_2.rnaseq.fastq.gz,EGAF00000481163
EGAN00001187753,587715,587715_1_1.rnaseq.fastq.gz,EGAF00000481164
EGAN00001187753,587715,587715_1_2.rnaseq.fastq.gz,EGAF00000481165
EGAN00001187754,587665,587665_1_1.rnaseq.fastq.gz,EGAF00000481166
EGAN00001187754,587665,587665_1_2.rnaseq.fastq.gz,EGAF00000481167
EGAN00001187755,587720,587720_1_1.rnaseq.fastq.gz,EGAF00000481168
EGAN00001187755,587720,587720_1_2.rnaseq.fastq.gz,EGAF00000481169
EGAN00001187756,636056,636056_1_1.rnaseq.fastq.gz,EGAF00000481170
EGAN00001187756,636056,636056_1_2.rnaseq.fastq.gz,EGAF00000481171
EGAN00001187757,636057,636057_1_1.rnaseq.fastq.gz,EGAF00000481172
EGAN00001187757,636057,636057_1_2.rnaseq.fastq.gz,EGAF00000481173
EGAN00001187758,587722,587722_1_1.rnaseq.fastq.gz,EGAF00000481174
EGAN00001187758,587722,587722_1_2.rnaseq.fastq.gz,EGAF00000481175
EGAN00001187759,636201,636201_1_1.rnaseq.fastq.gz,EGAF00000481176
EGAN00001187759,636201,636201_1_2.rnaseq.fastq.gz,EGAF00000481177
EGAN00001187760,587523,587523_1_1.rnaseq.fastq.gz,EGAF00000481178
EGAN00001187760,587523,587523_1_2.rnaseq.fastq.gz,EGAF00000481179
EGAN00001187761,636086,636086_1_1.rnaseq.fastq.gz,EGAF00000481180
EGAN00001187761,636086,636086_1_2.rnaseq.fastq.gz,EGAF00000481181
EGAN00001187762,639179,639179_1_1.rnaseq.fastq.gz,EGAF00000481182
EGAN00001187762,639179,639179_1_2.rnaseq.fastq.gz,EGAF00000481183
EGAN00001187763,636052,636052_1_1.rnaseq.fastq.gz,EGAF00000481184
EGAN00001187763,636052,636052_1_2.rnaseq.fastq.gz,EGAF00000481185
EGAN00001187764,636120,636120_1_1.rnaseq.fastq.gz,EGAF00000481186
EGAN00001187764,636120,636120_1_2.rnaseq.fastq.gz,EGAF00000481187
EGAN00001187765,587724,587724_1_1.rnaseq.fastq.gz,EGAF00000481188
EGAN00001187765,587724,587724_1_2.rnaseq.fastq.gz,EGAF00000481189
EGAN00001187766,586986,586986_1_1.rnaseq.fastq.gz,EGAF00000481190
EGAN00001187766,586986,586986_1_2.rnaseq.fastq.gz,EGAF00000481191
EGAN00001187767,587602,587602_1_1.rnaseq.fastq.gz,EGAF00000481192
EGAN00001187767,587602,587602_1_2.rnaseq.fastq.gz,EGAF00000481193
EGAN00001187768,587603,587603_1_1.rnaseq.fastq.gz,EGAF00000481194
EGAN00001187768,587603,587603_1_2.rnaseq.fastq.gz,EGAF00000481195
EGAN00001187769,635619,635619_1_1.rnaseq.fastq.gz,EGAF00000481196
EGAN00001187769,635619,635619_1_2.rnaseq.fastq.gz,EGAF00000481197
EGAN00001187770,635620,635620_1_1.rnaseq.fastq.gz,EGAF00000481198
EGAN00001187770,635620,635620_1_2.rnaseq.fastq.gz,EGAF00000481199
EGAN00001187771,636817,636817_1_1.rnaseq.fastq.gz,EGAF00000481200
EGAN00001187771,636817,636817_1_2.rnaseq.fastq.gz,EGAF00000481201
EGAN00001187772,587005,587005_1_1.rnaseq.fastq.gz,EGAF00000481202
EGAN00001187772,587005,587005_1_2.rnaseq.fastq.gz,EGAF00000481203
EGAN00001187773,635599,635599_1_1.rnaseq.fastq.gz,EGAF00000481204
EGAN00001187773,635599,635599_1_2.rnaseq.fastq.gz,EGAF00000481205
EGAN00001187774,636746,636746_1_1.rnaseq.fastq.gz,EGAF00000481206
EGAN00001187774,636746,636746_1_2.rnaseq.fastq.gz,EGAF00000481207
EGAN00001187775,587689,587689_1_1.rnaseq.fastq.gz,EGAF00000481208
EGAN00001187775,587689,587689_1_2.rnaseq.fastq.gz,EGAF00000481209
EGAN00001187776,636441,636441_1_1.rnaseq.fastq.gz,EGAF00000481210
EGAN00001187776,636441,636441_1_2.rnaseq.fastq.gz,EGAF00000481211
EGAN00001187777,637174,637174_1_1.rnaseq.fastq.gz,EGAF00000481212
EGAN00001187777,637174,637174_1_2.rnaseq.fastq.gz,EGAF00000481213
EGAN00001187778,636099,636099_1_1.rnaseq.fastq.gz,EGAF00000481214
EGAN00001187778,636099,636099_1_2.rnaseq.fastq.gz,EGAF00000481215
EGAN00001187779,636131,636131_1_1.rnaseq.fastq.gz,EGAF00000481216
EGAN00001187779,636131,636131_1_2.rnaseq.fastq.gz,EGAF00000481217
EGAN00001187780,636129,636129_1_1.rnaseq.fastq.gz,EGAF00000481218
EGAN00001187780,636129,636129_1_2.rnaseq.fastq.gz,EGAF00000481219
EGAN00001187781,636053,636053_1_1.rnaseq.fastq.gz,EGAF00000481220
EGAN00001187781,636053,636053_1_2.rnaseq.fastq.gz,EGAF00000481221
EGAN00001187782,636148,636148_1_1.rnaseq.fastq.gz,EGAF00000481222
EGAN00001187782,636148,636148_1_2.rnaseq.fastq.gz,EGAF00000481223
EGAN00001187783,636104,636104_1_1.rnaseq.fastq.gz,EGAF00000481224
EGAN00001187783,636104,636104_1_2.rnaseq.fastq.gz,EGAF00000481225
EGAN00001187784,636814,636814_1_1.rnaseq.fastq.gz,EGAF00000481226
EGAN00001187784,636814,636814_1_2.rnaseq.fastq.gz,EGAF00000481227
EGAN00001187785,587604,587604_1_1.rnaseq.fastq.gz,EGAF00000481228
EGAN00001187785,587604,587604_1_2.rnaseq.fastq.gz,EGAF00000481229
EGAN00001187786,587433,587433_1_1.rnaseq.fastq.gz,EGAF00000481230
EGAN00001187786,587433,587433_1_2.rnaseq.fastq.gz,EGAF00000481231
EGAN00001187787,587434,587434_1_1.rnaseq.fastq.gz,EGAF00000481232
EGAN00001187787,587434,587434_1_2.rnaseq.fastq.gz,EGAF00000481233
EGAN00001187788,587436,587436_1_1.rnaseq.fastq.gz,EGAF00000481234
EGAN00001187788,587436,587436_1_2.rnaseq.fastq.gz,EGAF00000481235
EGAN00001187789,587437,587437_1_1.rnaseq.fastq.gz,EGAF00000481236
EGAN00001187789,587437,587437_1_2.rnaseq.fastq.gz,EGAF00000481237
EGAN00001187790,635998,635998_1_1.rnaseq.fastq.gz,EGAF00000481238
EGAN00001187790,635998,635998_1_2.rnaseq.fastq.gz,EGAF00000481239
EGAN00001187791,636821,636821_1_1.rnaseq.fastq.gz,EGAF00000481240
EGAN00001187791,636821,636821_1_2.rnaseq.fastq.gz,EGAF00000481241
EGAN00001187792,587484,587484_1_1.rnaseq.fastq.gz,EGAF00000481242
EGAN00001187792,587484,587484_1_2.rnaseq.fastq.gz,EGAF00000481243
EGAN00001187793,636799,636799_1_1.rnaseq.fastq.gz,EGAF00000481244
EGAN00001187793,636799,636799_1_2.rnaseq.fastq.gz,EGAF00000481245
EGAN00001187794,587730,587730_1_1.rnaseq.fastq.gz,EGAF00000481246
EGAN00001187794,587730,587730_1_2.rnaseq.fastq.gz,EGAF00000481247
EGAN00001187795,636815,636815_1_1.rnaseq.fastq.gz,EGAF00000481248
EGAN00001187795,636815,636815_1_2.rnaseq.fastq.gz,EGAF00000481249
EGAN00001187796,636863,636863_1_1.rnaseq.fastq.gz,EGAF00000481250
EGAN00001187796,636863,636863_1_2.rnaseq.fastq.gz,EGAF00000481251
EGAN00001187797,636040,636040_1_1.rnaseq.fastq.gz,EGAF00000481252
EGAN00001187797,636040,636040_1_2.rnaseq.fastq.gz,EGAF00000481253
EGAN00001187798,587605,587605_1_1.rnaseq.fastq.gz,EGAF00000481254
EGAN00001187798,587605,587605_1_2.rnaseq.fastq.gz,EGAF00000481255
EGAN00001187799,587485,587485_1_1.rnaseq.fastq.gz,EGAF00000481256
EGAN00001187799,587485,587485_1_2.rnaseq.fastq.gz,EGAF00000481257
EGAN00001187800,636152,636152_1_1.rnaseq.fastq.gz,EGAF00000481258
EGAN00001187800,636152,636152_1_2.rnaseq.fastq.gz,EGAF00000481259
EGAN00001187801,636058,636058_1_1.rnaseq.fastq.gz,EGAF00000481260
EGAN00001187801,636058,636058_1_2.rnaseq.fastq.gz,EGAF00000481261
EGAN00001187802,636096,636096_1_1.rnaseq.fastq.gz,EGAF00000481262
EGAN00001187802,636096,636096_1_2.rnaseq.fastq.gz,EGAF00000481263
EGAN00001187803,636153,636153_1_1.rnaseq.fastq.gz,EGAF00000481264
EGAN00001187803,636153,636153_1_2.rnaseq.fastq.gz,EGAF00000481265
EGAN00001187804,587438,587438_1_1.rnaseq.fastq.gz,EGAF00000481266
EGAN00001187804,587438,587438_1_2.rnaseq.fastq.gz,EGAF00000481267
EGAN00001187805,636791,636791_1_1.rnaseq.fastq.gz,EGAF00000481268
EGAN00001187805,636791,636791_1_2.rnaseq.fastq.gz,EGAF00000481269
EGAN00001187806,587439,587439_1_1.rnaseq.fastq.gz,EGAF00000481270
EGAN00001187806,587439,587439_1_2.rnaseq.fastq.gz,EGAF00000481271
EGAN00001187807,587441,587441_1_1.rnaseq.fastq.gz,EGAF00000481272
EGAN00001187807,587441,587441_1_2.rnaseq.fastq.gz,EGAF00000481273
EGAN00001187808,635981,635981_1_1.rnaseq.fastq.gz,EGAF00000481274
EGAN00001187808,635981,635981_1_2.rnaseq.fastq.gz,EGAF00000481275
EGAN00001187809,639228,639228_1_1.rnaseq.fastq.gz,EGAF00000481276
EGAN00001187809,639228,639228_1_2.rnaseq.fastq.gz,EGAF00000481277
EGAN00001187810,587527,587527_1_1.rnaseq.fastq.gz,EGAF00000481278
EGAN00001187810,587527,587527_1_2.rnaseq.fastq.gz,EGAF00000481279
EGAN00001187811,587528,587528_1_1.rnaseq.fastq.gz,EGAF00000481280
EGAN00001187811,587528,587528_1_2.rnaseq.fastq.gz,EGAF00000481281
EGAN00001187812,587442,587442_1_1.rnaseq.fastq.gz,EGAF00000481282
EGAN00001187812,587442,587442_1_2.rnaseq.fastq.gz,EGAF00000481283
EGAN00001187813,587667,587667_1_1.rnaseq.fastq.gz,EGAF00000481284
EGAN00001187813,587667,587667_1_2.rnaseq.fastq.gz,EGAF00000481285
EGAN00001187814,587691,587691_1_1.rnaseq.fastq.gz,EGAF00000481286
EGAN00001187814,587691,587691_1_2.rnaseq.fastq.gz,EGAF00000481287
EGAN00001187815,587692,587692_1_1.rnaseq.fastq.gz,EGAF00000481288
EGAN00001187815,587692,587692_1_2.rnaseq.fastq.gz,EGAF00000481289
EGAN00001187816,639164,639164_1_1.rnaseq.fastq.gz,EGAF00000481290
EGAN00001187816,639164,639164_1_2.rnaseq.fastq.gz,EGAF00000481291
EGAN00001187817,639188,639188_1_1.rnaseq.fastq.gz,EGAF00000481292
EGAN00001187817,639188,639188_1_2.rnaseq.fastq.gz,EGAF00000481293
EGAN00001187818,587693,587693_1_1.rnaseq.fastq.gz,EGAF00000481294
EGAN00001187818,587693,587693_1_2.rnaseq.fastq.gz,EGAF00000481295
EGAN00001187819,636134,636134_1_1.rnaseq.fastq.gz,EGAF00000481296
