accession_id,alias,title,description,biological_sex,subject_id,phenotype,extra_attributes,submission_accession_id,created_at,edited_at
EGAN00000017695,636824,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017696,587564,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017697,587418,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017698,636138,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017699,587697,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017700,587538,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017701,587467,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017702,636044,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017703,636016,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017704,636826,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017705,636848,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017706,587483,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017707,636773,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017708,636132,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017709,636189,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017710,587680,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017711,636780,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017712,636154,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017713,636146,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017714,587712,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017715,636150,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017716,639174,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017717,587415,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017718,636846,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017719,636065,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017720,636010,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017721,587412,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017722,636839,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017723,636035,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017724,636803,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017725,587722,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017726,587452,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017727,587702,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017728,587622,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017729,587011,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017730,636790,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017731,636126,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017732,636069,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017733,636022,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017734,587508,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017735,636025,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017736,587473,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017737,635994,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017738,587456,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017739,636838,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017740,587607,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
EGAN00000017741,636076,,,unknown,,,,EGA00000000000,2016-07-22 17:03:02+02,2022-02-10 11:28:01.282303+01
