study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158627,EGAR00001163305,EGAN00001187748,587721,SAMEA2336994,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158628,EGAR00001163306,EGAN00001187749,636792,SAMEA2336995,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158629,EGAR00001163307,EGAN00001187750,636117,SAMEA2336996,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158630,EGAR00001163308,EGAN00001187751,587011,SAMEA2336997,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158631,EGAR00001163309,EGAN00001187752,587714,SAMEA2336998,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158632,EGAR00001163310,EGAN00001187753,587715,SAMEA2336999,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158633,EGAR00001163311,EGAN00001187754,587665,SAMEA2337000,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158634,EGAR00001163312,EGAN00001187755,587720,SAMEA2337001,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158635,EGAR00001163313,EGAN00001187756,636056,SAMEA2337002,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158636,EGAR00001163314,EGAN00001187757,636057,SAMEA2337003,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158637,EGAR00001163315,EGAN00001187758,587722,SAMEA2337004,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158638,EGAR00001163316,EGAN00001187759,636201,SAMEA2337005,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158639,EGAR00001163317,EGAN00001187760,587523,SAMEA2337006,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158640,EGAR00001163318,EGAN00001187761,636086,SAMEA2337007,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158641,EGAR00001163319,EGAN00001187762,639179,SAMEA2337008,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158642,EGAR00001163320,EGAN00001187763,636052,SAMEA2337009,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158643,EGAR00001163321,EGAN00001187764,636120,SAMEA2337010,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158644,EGAR00001163322,EGAN00001187765,587724,SAMEA2337011,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158645,EGAR00001163323,EGAN00001187766,586986,SAMEA2337012,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158646,EGAR00001163324,EGAN00001187767,587602,SAMEA2337013,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158647,EGAR00001163325,EGAN00001187768,587603,SAMEA2337014,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158648,EGAR00001163326,EGAN00001187769,635619,SAMEA2337015,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158649,EGAR00001163327,EGAN00001187770,635620,SAMEA2337016,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158650,EGAR00001163328,EGAN00001187771,636817,SAMEA2337017,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158651,EGAR00001163329,EGAN00001187772,587005,SAMEA2337018,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158652,EGAR00001163330,EGAN00001187773,635599,SAMEA2337019,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158653,EGAR00001163331,EGAN00001187774,636746,SAMEA2337020,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158654,EGAR00001163332,EGAN00001187775,587689,SAMEA2337021,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158655,EGAR00001163333,EGAN00001187776,636441,SAMEA2337022,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158656,EGAR00001163334,EGAN00001187777,637174,SAMEA2337023,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158657,EGAR00001163335,EGAN00001187778,636099,SAMEA2337024,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158658,EGAR00001163336,EGAN00001187779,636131,SAMEA2337025,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158659,EGAR00001163337,EGAN00001187780,636129,SAMEA2337026,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158660,EGAR00001163338,EGAN00001187781,636053,SAMEA2337027,Cancer Cell Line
EGAS00001000610,RNA sequencing and Illumina 2.5M SNP array data collected from 675 commonly used human cancer cell lines.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,other,EGAX00001158661,EGAR00001163339,EGAN00001187782,636148,SAMEA2337028,Cancer Cell Line
